ablation,seed,dec_epoch,total_epoch,loss_total,loss_kl,loss_recon,loss_spatial,loss_dense,loss_ot,ARI,NMI,Silhouette,Homogeneity,dataset
Full_ARISE_v2,42,1,251,1.4369200468063354,0.22178763151168823,3.0229787826538086,0.39103934168815613,0.10273787379264832,0.1247602254152298,0.24887059238694767,0.37793501482379116,0.30678069591522217,0.4292865857155581,10x_human_lymph_node_A1
Full_ARISE_v2,42,2,252,1.435227632522583,0.22238078713417053,3.0243537425994873,0.3887619972229004,0.10444384813308716,0.12499307096004486,0.25024939778787936,0.3775912893362956,0.31337621808052063,0.4298075062135337,10x_human_lymph_node_A1
Full_ARISE_v2,42,3,253,1.4337040185928345,0.2226063758134842,3.0257883071899414,0.38895300030708313,0.10542810708284378,0.12436510622501373,0.24916629398703555,0.3751835294397829,0.323224276304245,0.4274260061898714,10x_human_lymph_node_A1
Full_ARISE_v2,42,4,254,1.4311641454696655,0.22238604724407196,3.0266237258911133,0.39010104537010193,0.10553331673145294,0.12305016070604324,0.2521080380721595,0.3786831193105142,0.33452391624450684,0.4310307642648668,10x_human_lymph_node_A1
Full_ARISE_v2,42,5,255,1.4286257028579712,0.2224067598581314,3.028029680252075,0.39022961258888245,0.10577349364757538,0.12218940258026123,0.25305719461278714,0.37920172253505985,0.3456437587738037,0.43200873935701956,10x_human_lymph_node_A1
Full_ARISE_v2,42,6,256,1.4262151718139648,0.22226205468177795,3.029900550842285,0.39087748527526855,0.10566318780183792,0.12131205201148987,0.2522616796896401,0.3795370620909099,0.356900691986084,0.43221494224818685,10x_human_lymph_node_A1
Full_ARISE_v2,42,7,257,1.423569917678833,0.22210945188999176,3.030508518218994,0.39064735174179077,0.10634865611791611,0.1209760531783104,0.2534035664727897,0.38247151190715345,0.3666435778141022,0.4358283415697059,10x_human_lymph_node_A1
Full_ARISE_v2,42,8,258,1.4203935861587524,0.22189700603485107,3.0315396785736084,0.3900909721851349,0.10676351189613342,0.12027010321617126,0.25490758308848877,0.38031873981203795,0.3765351176261902,0.4335384327907476,10x_human_lymph_node_A1
Full_ARISE_v2,42,9,259,1.4172974824905396,0.2212810218334198,3.0326550006866455,0.390794575214386,0.10678737610578537,0.1191607266664505,0.2561198710197894,0.38193534240676413,0.386422723531723,0.43519942400255995,10x_human_lymph_node_A1
Full_ARISE_v2,42,10,260,1.4139034748077393,0.22077912092208862,3.0330028533935547,0.39049580693244934,0.10741154849529266,0.11837358772754669,0.25704104482347734,0.3817793504777863,0.39475563168525696,0.43522059199362145,10x_human_lymph_node_A1
Full_ARISE_v2,42,11,261,1.4105615615844727,0.2203827202320099,3.033493995666504,0.3903903365135193,0.10785013437271118,0.11751402914524078,0.2556725611732269,0.3806185455740846,0.4026469588279724,0.43414034132398305,10x_human_lymph_node_A1
