ablation,seed,dec_epoch,fused_joint,fused_rna,fused_aux,x_sim,x_dist,dataset
Full_ARISE_v2,42,1,0.30678069591522217,0.2379947155714035,0.15477247536182404,0.0008164588361978531,0.013810732401907444,10x_human_lymph_node_A1
Full_ARISE_v2,42,2,0.31337621808052063,0.24389316141605377,0.15304993093013763,0.003275505732744932,0.011580361053347588,10x_human_lymph_node_A1
Full_ARISE_v2,42,3,0.323224276304245,0.26004600524902344,0.1506369709968567,0.004382847808301449,0.012817645445466042,10x_human_lymph_node_A1
Full_ARISE_v2,42,4,0.33452391624450684,0.27358365058898926,0.15059250593185425,0.0032744798809289932,0.012472281232476234,10x_human_lymph_node_A1
Full_ARISE_v2,42,5,0.3456437587738037,0.286576509475708,0.15022584795951843,0.003140326589345932,0.011313887313008308,10x_human_lymph_node_A1
Full_ARISE_v2,42,6,0.356900691986084,0.30213573575019836,0.1495792269706726,0.0011086593149229884,0.011960798874497414,10x_human_lymph_node_A1
Full_ARISE_v2,42,7,0.3666435778141022,0.3116980195045471,0.14907164871692657,0.003438460873439908,0.011909771710634232,10x_human_lymph_node_A1
Full_ARISE_v2,42,8,0.3765351176261902,0.3260240852832794,0.1468164175748825,0.002799445064738393,0.012685428373515606,10x_human_lymph_node_A1
Full_ARISE_v2,42,9,0.386422723531723,0.33562418818473816,0.1473388373851776,0.0026300670579075813,0.012995276600122452,10x_human_lymph_node_A1
Full_ARISE_v2,42,10,0.39475563168525696,0.34578821063041687,0.1457129418849945,0.003194160060957074,0.01312576700001955,10x_human_lymph_node_A1
Full_ARISE_v2,42,11,0.4026469588279724,0.35563454031944275,0.14393334090709686,0.003908212762326002,0.013769306242465973,10x_human_lymph_node_A1
Full_ARISE_v2,42,12,0.4130902886390686,0.36548668146133423,0.14499960839748383,0.004662099294364452,0.013944732956588268,10x_human_lymph_node_A1
Full_ARISE_v2,42,13,0.4190843403339386,0.37180158495903015,0.14409446716308594,0.00486871087923646,0.014861013740301132,10x_human_lymph_node_A1
Full_ARISE_v2,42,14,0.42786577343940735,0.3861598074436188,0.1404990404844284,0.006736690644174814,0.01647682674229145,10x_human_lymph_node_A1
Full_ARISE_v2,42,15,0.4278271198272705,0.3801358640193939,0.14070886373519897,0.0045550111681222916,0.014454701915383339,10x_human_lymph_node_A1
Full_ARISE_v2,42,16,0.4338134229183197,0.3945388197898865,0.14060324430465698,0.007260686252266169,0.01903347112238407,10x_human_lymph_node_A1
Full_ARISE_v2,42,17,0.4451766908168793,0.4014104902744293,0.1402905136346817,0.0058349440805613995,0.016234230250120163,10x_human_lymph_node_A1
Full_ARISE_v2,42,18,0.45520320534706116,0.4168905019760132,0.14147889614105225,0.005355916917324066,0.018150217831134796,10x_human_lymph_node_A1
Full_ARISE_v2,42,19,0.4583456814289093,0.42273595929145813,0.13875700533390045,0.00862173829227686,0.019901162013411522,10x_human_lymph_node_A1
Full_ARISE_v2,42,20,0.4638735055923462,0.42378929257392883,0.14002694189548492,0.006718798074871302,0.018370844423770905,10x_human_lymph_node_A1
Full_ARISE_v2,42,21,0.47238689661026,0.43573033809661865,0.13957923650741577,0.0074042463675141335,0.019203655421733856,10x_human_lymph_node_A1
Full_ARISE_v2,42,22,0.4779030382633209,0.4403584897518158,0.1407848596572876,0.006324886344373226,0.019785847514867783,10x_human_lymph_node_A1
Full_ARISE_v2,42,23,0.480898380279541,0.4443444609642029,0.13856741786003113,0.006733305286616087,0.020234379917383194,10x_human_lymph_node_A1
Full_ARISE_v2,42,24,0.48604995012283325,0.45140063762664795,0.13920541107654572,0.009248939342796803,0.022340882569551468,10x_human_lymph_node_A1
Full_ARISE_v2,42,25,0.49376264214515686,0.4570315182209015,0.14023436605930328,0.005473691038787365,0.022565247491002083,10x_human_lymph_node_A1
Full_ARISE_v2,42,26,0.5000078678131104,0.46641644835472107,0.13823653757572174,0.0049132127314805984,0.024098971858620644,10x_human_lymph_node_A1
Full_ARISE_v2,42,27,0.5034943222999573,0.4699435532093048,0.13980086147785187,0.0070433784276247025,0.02524837665259838,10x_human_lymph_node_A1
Full_ARISE_v2,42,28,0.50473552942276,0.4661020338535309,0.14071591198444366,0.005436128471046686,0.02566305361688137,10x_human_lymph_node_A1
